id	itemId	timestamp	address	parentItemId
1	test	1519313607051	-1	-1
2	Kunde A	1520869772375	-1	test
3	F7487232	1528241748174	1986543873053567483	-1
4	F7512377	1528253447539	-4770966441840271855	-1
5	F7418156	1528272810868	2600212495939589915	-1
6	F7328776	1528284902758	1405451950033454729	-1
7	F7518665	1528323888993	4591818761713987449	-1
8	F7358337	1528336657133	4751451578702838656	-1
9	F7418163	1528361854453	-5224746221307836748	-1
10		1528363481844	8340916699343541634	null
11	F7462033	1528363506436	8340916699343541634	-1
12		1528363522494	1326896118621433893	null
13		1528363640968	-4353852320653709660	null
14		1528364143711	-8109366442248139516	null
15		1528364289204	-9100101032468893356	null
16		1528364305862	-9100101032468893356	null
17	F7476083	1528364333482	-9100101032468893356	-1
18	F7487232	1528370015490	-1	null
19	F7391886	1528371510465	-6975491984682628175	-1
20	F7504694	1528422150420	9096423301671818677	-1
21	F7522052	1528425754040	-6353912313050864570	-1
22		1528446649373	-6073876375101542463	null
23		1528446709841	6863288185892770224	null
24		1528446733245	-8287120046322900547	null
25	F7519576	1528446812680	-6073876375101542463	-1
26	F7502864	1528447199623	6684733276283289621	-1
27	F7358337	1528447661273	-1	null
28	F7436933F7436933	1528494671331	3172077060303304809	-1
29	F7500218	1528501138628	-2376950177983040696	-1
30	F7511189	1528509952531	-2292084713005523594	-1
31	F7108688	1528535880991	6608775471905240398	-1
32	F7134239	1528538612844	-6373291646473613089	-1
33	F7483942	1528686673387	-1686734335080013094	-1
34		1528748565957	-6373291646473613089	null
35		1528748588048	-6373291646473613089	null
36	F7376665	1528748623899	-6196490120761152012	-1
37		1528752279695	-8608182124092177080	null
38	F7515115	1528752316507	-8608182124092177080	-1
39	F7515116	1528758134346	-2571823634721508813	-1
40	F7492616	1528761069481	6892610991451277547	-1
41	F7505958	1528772195071	5106149975160207938	-1
42	F7447679	1528806827303	5491168338925147774	-1
43	F7485546	1528815364797	914845595629141593	-1
44	F7501862	1528822946792	-1743798228505193158	-1
45	F7518669	1528839072459	-5655706921459459053	-1
46	F7501740	1528854185811	-7023655600645518972	-1
47	F7345569	1528859164401	-8002497277633387254	-1
48	F7436933F7436933	1528881618165	-1	null
49	P7480806	1528891311111	-3170424921640195624	-1
50	F7506139	1528895718674	-6373291646473613089	-1
51	F7514771	1528899664299	-378114927423601818	-1
52	F7484711	1528912041738	5584577939061494859	-1
53	F7373075	1528916515723	986599047765879986	-1
54	F7154996	1528924400992	6629077505579689371	-1
55		1528954150163	-1743798228505193158	null
56		1528969088059	4136998895017491547	null
57	F7417133	1528987352531	-6073876375101542463	-1
58	F7533727	1528994079421	6629077505579689371	-1
59	F7418185	1529014547661	8418564811875842441	-1
60		1529053387514	9096423301671818677	null
61	F7430141	1529067095508	142392605671370416	-1
62	F7420147	1529073108426	3407280054864427282	-1
63	F7404695	1529082565216	8375791865885302222	-1
64	F7518537	1529085371836	2070991107496355897	-1
65	F7454523	1529088204928	4646720082062120060	-1
66	F7532165	1529156204269	5106149975160207938	-1
67	F7532498	1529326696670	-1743798228505193158	-1
68	F7520352	1529346858832	8721004544596209723	-1
69		1529389592312	-378114927423601818	null
70		1529420687048	5584577939061494859	null
71		1529420715497	3172077060303304809	null
72	F7502894	1529420765812	8240429773739531826	-1
73		1529472787279	-7763873056089379779	null
74		1529473689042	9007392730915793362	null
75		1529473712651	9007392730915793362	null
76		1529473730525	-2956353988975089002	null
77		1529473746583	-6975491984682628175	null
78		1529473764284	-8608182124092177080	null
79		1529473780471	1405451950033454729	null
80		1529473821768	3120576392541315323	null
81		1529473869505	5852689643758911522	null
82		1529473890797	-2236301780034293580	null
83	F7502898	1529473967119	-3939564973941109987	null
84		1529473981211	8240429773739531826	null
85	F7502898	1529474861779	-3939564973941109987	null
86	F7502864	1529475984098	-1	null
87		1529476045827	-1686734335080013094	null
88		1529476078422	-3170424921640195624	null
89		1529476122010	2600212495939589915	null
90		1529476185509	8340916699343541634	null
91	F7502898	1529476216144	-1	null
92	F7108688	1529477127141	-1	null
93	F7154996	1529477143136	-1	null
94	F7489714	1529499595843	7387009921978161205	-1
95		1529519151787	4751451578702838656	null
96		1529519174961	-8109366442248139516	null
97	F7450249	1529519204754	-1848788721524220278	-1
98	F7458541	1529555180788	6300574838115879515	-1
99		1529559515178	-3939564973941109987	null
100		1529559937244	8240429773739531826	null
101		1529567641803	4646720082062120060	null
102	Geofancing	1529570748068	1986543873053567483	-1
103	Geo	1529570845370	1986543873053567483	-1
104		1529670709254	-1743798228505193158	null
105	F7418187	1529670745864	-1743798228505193158	-1
106	F7532167	1529899966496	-5655706921459459053	-1
107	F7418164	1529905275667	3622430746677702478	-1
108		1529946604700	-6196490120761152012	null
109	F7535213	1529946626591	-6196490120761152012	-1
110		1529955124477	8418564811875842441	null
111	F7417133	1529955167631	-1	null
112		1529955231025	6863288185892770224	null
113	F7475400	1529973743433	-5838424063914740714	-1
114		1530013245098	2070991107496355897	null
115	F7416486	1530047932974	-8608182124092177080	-1
116	F7432848	1530067489522	-1848788721524220278	-1
117		1530266702895	-6196490120761152012	null
118		1530597374177	8375791865885302222	null
119		1530745106398	-378114927423601818	null
120		1530745124519	4646720082062120060	null
121		1530745143615	4136998895017491547	null
122	F7373097	1530745166466	8453186837199237689	-1
123		1530752504321	2600212495939589915	null
124		1530752514182	2600212495939589915	null
125		1530752536320	-3170424921640195624	null
126		1530752559384	-7483239427806795846	null
127	F7523417	1530752581557	-7483239427806795846	-1
128		1530838185295	-2770765694780926733	null
129	F7410177	1530838226758	-2770765694780926733	-1
130	F7447506	1530838371333	5852689643758911522	-1
131		1530838618636	-2292084713005523594	null
132		1530907830629	6629077505579689371	null
133	F7448867	1530907853744	6629077505579689371	-1
134	F7417134	1531374553302	-378114927423601818	-1
135	F7576843	1531379900828	4646720082062120060	-1
136	F7570649	1531385113869	4136998895017491547	-1
137	F7373097	1531395282096	-1	null
138		1531405838293	2070991107496355897	null
139	Marker F7533800	1531405855565	2070991107496355897	-1
140	F7571210	1531413785096	9096423301671818677	-1
141	F7489714	1531467106903	-1	null
142	F7447506	1531567096389	-1	null
143		1531567124822	5852689643758911522	null
144	F7555751	1531567166597	-3170424921640195624	-1
145	F7532167	1531806482893	-1	null
146	F7344433	1531806502157	-5655706921459459053	-1
147		1531823639603	-7023655600645518972	null
148	F7501404	1531823660648	-7023655600645518972	-1
149		1531833916861	-8659618098816896344	null
150		1531834164979	-9180266998266353094	null
151		1531834530367	-9100101032468893356	null
152		1531904070656	-7023655600645518972	null
153		1531977573392	4646720082062120060	null
154	F7562670	1532064986080	-8659618098816896344	-1
155	F7494383	1532073749116	-9180266998266353094	-1
156	F7475846	1532073844894	-3255932026698859782	-1
157	F7558197	1532084063660	8375791865885302222	-1
158	F7417070	1532302506905	897836185907794843	-1
159	Gabelstapler - Ameise 12117	1532335061125	5106149975160207938	-1
160	Gabelstapler -  Hubwagen 1	1532335081681	8405123468908889237	-1
161		1532335147304	-6247115560087393137	null
162	Gabelstapler - Ameise Nr. 20	1532335186782	-7573228149069718550	-1
163	Gabelstapler - Schubmast Nr 27	1532335223162	-1864515622891090337	-1
164	Gabelstapler - Schubmast Nr 13	1532335245376	3622430746677702478	-1
165	Ger„t Nr 10	1532335325568	897836185907794843	-1
166	Gabelstapler - Ger„t Nr 15	1532335387053	-359037136983245745	-1
167	Gabelstapler - Schubmast	1532335408666	-8762245971590074211	-1
168	Gabelstapler - Ger„t Nr 11	1532335437202	3584523153129488107	-1
169	Gabelstapler - Schubmast Nr 26	1532335473082	-6196490120761152012	-1
170	Gabelstapler - Ameise 0501	1532335488647	-6958684199778844888	-1
171	F7565918	1532384223297	-8885228872844903850	-1
172	F7565918	1532384250619	-8885228872844903850	-1
173	F7565918	1532384252887	-8885228872844903850	-1
174	F7565918	1532384254539	-8885228872844903850	-1
175	F7565657	1532394054644	-9100101032468893356	-1
176		1532464416004	6629077505579689371	null
177	F7594488	1532464435777	6629077505579689371	-1
178	F7418165	1532471036760	4646720082062120060	-1
179		1532486421568	1384569051694241367	null
180		1532486432923	1384569051694241367	null
181	F7418151	1532486509083	1384569051694241367	-1
182		1532486777722	-5224746221307836748	null
183	F7593752	1532576083506	-1686734335080013094	-1
184		1532576195582	-1686734335080013094	null
185		1532576209070	-1686734335080013094	null
186		1532576305203	-1686734335080013094	null
187		1532640768231	4923569006891484176	null
188	F7593752	1532640794342	-1	null
189		1532640820228	2600212495939589915	null
190	F7588855	1532640841118	4923569006891484176	-1
191	F7593752	1532640943497	-1	null
192		1533039703162	-9100101032468893356	null
193	F7501309	1535111921843	-1686734335080013094	-1
194	F7511264	1535112083684	1986543873053567483	-1
195	P7611091	1535112125367	2600212495939589915	-1
196	P7535763	1535112173382	2722126179444575358	-1
197	F7417476	1535112224533	5584577939061494859	-1
198	F7606309	1535112266949	1384569051694241367	-1
199	F7632970	1535112357126	-4182952303657751208	-1
200	F7633246	1535112430002	8721004544596209723	-1
201	F7511265	1535112458678	-8109366442248139516	-1
202	F7608341	1535112484809	3172077060303304809	-1
203	P7611089	1535112555072	-145401774635637016	-1
204		1535113016277	6629077505579689371	null
205	F7523417	1535113028084	-1	null
206		1535113036443	-3770829663595083693	null
207		1535113114757	2070991107496355897	null
208		1535113130241	9096423301671818677	null
209		1535113140395	-1743798228505193158	null
210		1535113148343	5145455859265190007	null
211	F7579992	1535321332278	7513026853722809445	-1
212	F7615321	1535365761577	4097561104246144622	-1
213	F7606173	1535365887098	2070991107496355897	-1
214	F7624427	1535375297132	-3770829663595083693	-1
215	F7624901	1535375346528	-7483239427806795846	-1
216	F7632882	1535375412845	9096423301671818677	-1
217	P7516006	1535375432767	-1743798228505193158	-1
218	F7562672	1535375506010	5145455859265190007	-1
219	P7634662	1535375573292	6629077505579689371	-1
220	F7633245	1535375622340	-7763873056089379779	-1
221	F7619494	1535375635707	-6073876375101542463	-1
222	F7574152	1535411206390	897836185907794843	-1
223	F7594685	1535426055173	-6975491984682628175	-1
224		1535446805002	4646720082062120060	null
225		1535447395672	-6975491984682628175	null
226	F7345569	1535447549259	-1	null
227		1535447595719	3407280054864427282	null
228		1535447715334	-378114927423601818	null
229	F7418151	1535447797686	-1	null
230		1535447840539	5491168338925147774	null
231	F7606172	1535448202092	-8002497277633387254	-1
232	F7607378	1535455518230	3120576392541315323	-1
233	F7522108	1535497428774	-2956353988975089002	-1
234	F7567233	1535532520323	-6247115560087393137	-1
235	F7607107	1535572953430	3407280054864427282	-1
236	F7599247	1535610583231	8340916699343541634	-1
237		1535682381084	-8608182124092177080	null
238	F7629529	1535682398551	-8608182124092177080	-1
239	Fertigungsauftrag 12117	1536056364447	5106149975160207938	-1
240	Fertigungsauftrag 2801-0501	1536062217355	-6958684199778844888	-1
241		1536558731178	4591818761713987449	null
242	F7642216	1536558754112	4591818761713987449	-1
243	F7637207	1536559252874	6863288185892770224	-1
244		1536559285490	1384569051694241367	null
245		1536559398755	-6839457255205579992	null
246	F7410177	1536560032382	-1	null
247	F7410177	1536560035219	-1	null
248	P7615236	1537186644234	-8287120046322900547	-1
249	F7522109	1537203515952	-3939564973941109987	null
250		1538457335195	-4231982701731627642	null
251	F7647099	1539065370917	-1743798228505193158	-1
252	F7685650	1539065418038	4591818761713987449	-1
253	F7580969	1539065449459	6684733276283289621	-1
254	F7431522	1539065483128	8240429773739531826	-1
255	F7511200	1539065514433	-5838424063914740714	-1
256	F7562674	1539065572634	-6839457255205579992	-1
257	P7693170	1539065604688	-2571823634721508813	-1
258	P7693171	1539065640145	-2236301780034293580	-1
259	F7660638	1539065652869	5491168338925147774	-1
260	F7588846	1539065680544	8375791865885302222	-1
261	F7588842	1539065709146	5584577939061494859	-1
262	F7243667	1539065755374	-3939564973941109987	-1
263	F7671433	1539065767914	-378114927423601818	-1
264	F7679528	1539172149329	3622430746677702478	-1
265	F7687499	1539173625807	914845595629141593	-1
266		1539179861071	5131728347517324526	null
267	P7688393	1539180121349	7387009921978161205	-1
268	P7688392	1539180160704	8453186837199237689	-1
269	P7688398	1539180355177	-5224746221307836748	-1
270	P7688397	1539181835585	-145401774635637016	-1
271	P7688400	1539181880506	5145455859265190007	-1
272	P7688401	1539181941379	-8109366442248139516	-1
273	P7688403	1539181978507	2600212495939589915	-1
274	P7688404	1539182033114	4824693298651490862	-1
275	P7688399	1539182099577	3172077060303304809	-1
276	P7688402	1539182191188	4751451578702838656	-1
277	9247526	1539187090636	-1848788721524220278	-1
278	F7638971	1539187180752	2522557717919988496	-1
279	F7632038	1539187213106	-1848788721524220278	-1
280	F7687721	1539195484258	5106149975160207938	-1
281	P7682138	1539195665229	9007392730915793362	-1
282	P7688342	1539196011047	-5655706921459459053	-1
283	F7658443	1539197352035	-2236301780034293580	-1
284	P7688398	1539249624434	-1	null
285	P7688393	1539249743928	-1	null
286	P7688403	1539249765393	-1	null
287	P7688402	1539249784457	-1	null
288	P7688400	1539249808714	-1	null
289	P7688392	1539249828463	-1	null
290	P7688397	1539249842358	-1	null
291	P7688401	1539249863480	-1	null
292	P7688399	1539249878593	-1	null
293	P7688404	1539249898182	-1	null
294	F7688081	1539257073122	-1819522182820545843	-1
295	F7658443	1539593951663	-1	null
296		1539593961630	-2571823634721508813	null
